fecha,produccion_kg,consumo_kwh,fallas_maquina,mantenimiento,ventas_usd,costos_usd,tiempo_inactividad_horas,period,is_synthetic
2020-01-01,431.65244594558686,1584.4279124104553,0,0,660.6457859697708,516.6275421221286,0.7457756073760587,pre,True
2020-01-02,388.08552596308556,1424.5107273547508,0,0,593.9664415933696,464.4840387091342,0.6705040630661956,pre,True
2020-01-03,599.9492828396195,2862.834019122001,1,0,918.2247644521498,718.0552926379991,1.0365458252516189,pre,True
2020-01-04,664.7892833395015,2440.182388141099,0,0,1017.4626432013059,795.659694985517,1.148571347658039,pre,True
2020-01-05,184.6444856655054,677.7579501958339,0,0,282.5991199708133,220.99359726042104,0.3190144171294488,pre,True
2020-01-06,339.1987616703072,1245.0664670002689,0,0,519.1450543336001,405.97342648833455,0.5860413044845081,pre,True
2020-01-07,420.3506482214344,1542.9434173201128,0,1,643.3483395855907,503.1008726114308,0.7262492380913737,pre,True
2020-01-08,393.2622886309559,1443.5126057037317,0,0,601.8894974537441,470.6798988238446,0.6794480719769186,pre,True
2020-01-09,452.46173018337237,2159.0538910036976,1,0,692.4944782912622,541.5333418461109,0.7817282742432629,pre,True
2020-01-10,471.689464342286,1731.3882043612102,0,0,721.9226019244006,564.546247558568,0.8149484615849949,pre,True
2020-01-11,658.7177300767605,3143.264906888291,1,0,1008.1701067753072,788.3928958084105,1.1380813889776995,pre,True
2020-01-12,278.0375970553489,1020.5676664451431,0,0,425.53764854359764,332.7720756211234,0.4803717893063237,pre,True
2020-01-13,416.47139669167586,1528.7041967139467,0,0,637.4111296846073,498.4579516644583,0.7195469682607634,pre,True
2020-01-14,488.3338839130964,1792.483382209889,0,0,747.396952302007,584.4672873990354,0.8437053984017222,pre,True
2020-01-15,442.32264442352664,2110.6722686460603,1,0,676.9765671946284,529.3982757653436,0.7642107484842636,pre,True
2020-01-16,398.747940651809,1463.648296492117,0,0,610.2853096978615,477.24545624646584,0.6889257559472792,pre,True
2020-01-17,566.5640072480561,2079.635678385798,0,1,867.1284673266005,678.0977920285537,0.9788653362017458,pre,True
2020-01-18,499.9724643977275,1835.2040755683827,0,0,765.2098460410842,598.3970387210596,0.8638136348114728,pre,True
2020-01-19,282.2674711396143,1036.0938858099155,0,0,432.01148765930355,337.8346426751639,0.4876798375843935,pre,True
2020-01-20,409.2901396962175,1502.3446008477129,0,0,626.4201872804178,489.86299248894915,0.7071397495647604,pre,True
2020-01-21,401.08919126132946,1472.2421150850967,0,1,613.8686030710534,480.04760542747835,0.6929707871100467,pre,True
2020-01-22,372.3274643423609,1366.6690241236577,0,0,569.8486655849927,445.62384523591044,0.6432785067496521,pre,True
2020-01-23,544.9012359548534,2000.12008703562,0,0,833.9735096709561,652.170487795991,0.9414380806159559,pre,True
2020-01-24,523.7937612061397,1922.6427728990134,0,0,801.6684355860548,626.907795780092,0.9049702233183718,pre,True
2020-01-25,541.3880164173379,2583.391755397532,1,0,828.5965131904613,647.9656558955807,0.9353682124638213,pre,True
2020-01-26,234.69047606914435,1119.894461202804,1,0,359.19470740556045,280.8916408326306,0.4054799966496795,pre,True
2020-01-27,446.6429728614583,2131.2879833067227,1,0,683.5888470585185,534.5691040162052,0.771675076776912,pre,True
2020-01-28,435.6023512880762,1598.9264756290872,0,0,666.6911318122545,521.3550257906969,0.7525999473827971,pre,True
2020-01-29,438.7031861894444,2093.4009617877905,1,0,671.436971966338,525.0662910196269,0.7579573293544778,pre,True
2020-01-30,483.88462948025557,1776.1519030788809,0,0,740.5873506899402,579.1421527832007,0.8360183217774865,pre,True
2020-01-31,739.1675228341144,2713.1959198333766,0,0,1131.298834682451,884.6800339605377,1.277076299397961,pre,True
2020-02-01,716.782004078987,3114.9997538649754,1,0,1111.4343104648526,813.6235713752864,1.1049685555980344,pre,True
2020-02-02,256.25532191934246,1113.6374241580136,1,0,397.3466903460205,290.8769598252409,0.39503513106381305,pre,True
2020-02-03,488.6519986984667,1633.5305112714852,0,0,757.6984273322438,554.6718278056914,0.7532905264351993,pre,True
2020-02-04,480.2607809095993,1605.4792389522304,0,0,744.6870971034473,545.1469059372375,0.7403548894533708,pre,True
2020-02-05,487.6654746739096,1630.232628323071,0,0,756.1687340046337,553.5520184417006,0.7517697320789316,pre,True
2020-02-06,591.6119174417016,1977.7185411026933,0,0,917.3469475834503,671.5422518951176,0.9120102934644877,pre,True
2020-02-07,634.4319143105995,2757.121754836671,1,0,983.7431648758228,720.1474883275213,0.9780202516131086,pre,True
2020-02-08,731.5281114880942,2445.4488944104273,0,0,1134.299462808264,830.3619667392962,1.1277006902105255,pre,True
2020-02-09,286.04170309842164,956.2180258177206,0,0,443.5331261641901,324.68766056180317,0.44095287788312726,pre,True
2020-02-10,492.84478579977997,1647.5467143679703,0,0,764.1997170051924,559.4310857055463,0.7597539949387385,pre,True
2020-02-11,518.800601805999,1734.315248015719,0,0,804.4465204981072,588.8936888355945,0.7997666631677804,pre,True
2020-02-12,379.2717647788842,1267.8798029687325,0,0,588.0946368170191,430.51366527778833,0.584673403799155,pre,True
2020-02-13,494.81595033021796,1654.1361837895274,0,0,767.2561830970205,561.6685664401302,0.7627926800782221,pre,True
2020-02-14,571.7116437127235,1911.1932748487436,0,0,886.4898014997557,648.9533312880473,0.8813326584329428,pre,True
2020-02-15,600.3224562556577,2006.8372819655378,0,1,930.8534134899238,681.4296369830292,0.9254381856785298,pre,True
2020-02-16,271.7083958443878,908.3027511657053,0,1,421.3080572116882,308.4178371408998,0.4188571029846166,pre,True
2020-02-17,590.5578361717196,1974.1948188617907,0,0,915.7125007323723,670.345757894819,0.9103853549870332,pre,True
2020-02-18,414.44973938167755,1385.4773877355062,0,0,642.6412182374662,470.4443961934599,0.6389026611807752,pre,True
2020-02-19,545.6993220001023,1824.2358464543963,0,0,846.155380878516,619.4265881902204,0.8412328827870981,pre,True
2020-02-20,403.3102402173039,1348.2387970538866,0,0,625.368433063977,457.799883577528,0.6217303602138174,pre,True
